waktu,slot1,slot2,slot3,slot4,slot5,slot6,slot7,hari
0:00:00,0,0,0,0,0,0,0,Senin
0:01:00,0,0,0,0,0,0,0,Senin
0:02:00,0,0,0,0,0,0,0,Senin
0:03:00,0,0,0,0,0,0,0,Senin
0:04:00,1,0,0,0,0,0,0,Senin
0:05:00,0,0,0,1,0,0,0,Senin
0:06:00,0,0,0,1,0,1,1,Senin
0:07:00,0,0,0,0,0,0,0,Senin
0:08:00,0,0,0,0,0,0,0,Senin
0:09:00,0,0,0,0,0,0,0,Senin
0:10:00,0,0,0,1,0,0,0,Senin
0:11:00,0,0,0,0,0,1,1,Senin
0:12:00,0,0,0,0,0,0,0,Senin
0:13:00,0,0,0,0,0,0,0,Senin
0:14:00,1,0,1,0,0,0,1,Senin
0:15:00,0,0,0,0,0,0,0,Senin
0:16:00,0,0,0,1,0,0,0,Senin
0:17:00,0,0,0,0,0,0,1,Senin
0:18:00,0,0,0,0,0,0,0,Senin
0:19:00,0,0,0,0,0,0,0,Senin
0:20:00,1,0,1,0,0,0,0,Senin
0:21:00,0,0,0,0,0,0,0,Senin
0:22:00,0,0,1,0,0,0,0,Senin
0:23:00,1,0,0,0,0,0,0,Senin
0:24:00,0,0,0,0,0,0,0,Senin
0:25:00,0,0,0,0,0,0,0,Senin
0:26:00,0,0,0,0,0,0,0,Senin
0:27:00,0,0,0,0,0,0,0,Senin
0:28:00,0,0,0,0,0,0,0,Senin
0:29:00,0,0,0,0,0,0,0,Senin
0:30:00,0,1,0,0,0,0,0,Senin
0:31:00,0,1,0,0,0,0,0,Senin
0:32:00,0,0,0,0,0,0,0,Senin
0:33:00,0,0,0,0,0,0,0,Senin
0:34:00,0,0,0,0,0,0,0,Senin
0:35:00,1,0,0,0,0,0,0,Senin
0:36:00,0,0,0,1,1,0,1,Senin
0:37:00,0,0,0,0,0,0,0,Senin
0:38:00,0,0,0,1,1,0,0,Senin
0:39:00,0,0,0,0,0,1,0,Senin
